trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-33.80824505875892,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-208.29295226574607,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-47.979585830053416,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-150.98743930240624,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-62.02307716585361,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-68.45677362904107,"{0: 18, 1: 9, 2: 2, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-101.35649744733777,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-34.05416575179333,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-49.41413219849093,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,12,-18.750846944211624,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,22,5.769629375958758,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-126.15616981750276,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-62.993441971184694,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-78.22662212530808,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,3,-32.54875854044917,"{0: 23, 1: 1, 2: 2, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,5,9.922007969561122,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-77.17911395822085,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-114.41688311802548,"{0: 22, 1: 1, 2: 2, 3: 4, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,4,5.860984095880638,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,1,-4.91703225080627,"{0: 27, 1: 0, 2: 0, 3: 2, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,-27.250309126426167,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,12,25.492415566311745,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,0,-27.567211568332816,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,0,-107.3993047253813,"{0: 19, 1: 2, 2: 0, 3: 2, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,0,5.127586400513634,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,11,0.505657027387195,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,-86.55235642493614,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",25,0,-56.16699262227683,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",1
9,True,"{'a': 0, 'e': 0}",20,0,-23.590610172427297,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-34.95187795189108,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 1}",0
