trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",20,0,-155.77304578149537,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.002, 'e': 0.9980019986673331}",30,0,-95.45203075103275,"{0: 23, 1: 2, 2: 1, 3: 3, 4: 1}",0
3,False,"{'a': 0.002, 'e': 0.9960079893439915}",20,10,-89.67720970996933,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 2}",1
4,False,"{'a': 0.002, 'e': 0.9940179640539353}",20,9,-31.99568393345801,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
5,False,"{'a': 0.002, 'e': 0.9920319148370607}",25,0,-14.927119928565014,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
6,False,"{'a': 0.002, 'e': 0.9900498337491681}",25,0,-75.40878680629842,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.002, 'e': 0.9880717128619305}",20,0,15.3232141265686,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.002, 'e': 0.9860975442628619}",30,0,-221.85102263342188,"{0: 20, 1: 1, 2: 2, 3: 3, 4: 4}",0
9,False,"{'a': 0.002, 'e': 0.9841273200552851}",25,0,-76.83087083213181,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.002, 'e': 0.9821610323583008}",20,0,-81.6885021074248,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
11,False,"{'a': 0.002, 'e': 0.9801986733067553}",35,0,0.07767222302888466,"{0: 32, 1: 1, 2: 1, 3: 1, 4: 0}",0
12,False,"{'a': 0.002, 'e': 0.97824023505121}",20,6,-45.92227614053617,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
13,False,"{'a': 0.002, 'e': 0.9762857097579093}",25,0,19.75643668374164,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.002, 'e': 0.9743350896087494}",30,0,-45.887683977394445,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 2}",0
15,False,"{'a': 0.002, 'e': 0.9723883668012469}",20,0,-98.15841062478832,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
16,False,"{'a': 0.002, 'e': 0.9704455335485082}",35,0,-124.97745803209409,"{0: 28, 1: 3, 2: 0, 3: 1, 4: 3}",0
17,False,"{'a': 0.002, 'e': 0.9685065820791976}",20,0,-26.76246886891103,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.002, 'e': 0.9665715046375066}",20,0,-26.67240094658438,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.002, 'e': 0.9646402934831231}",30,8,-67.75233259838639,"{0: 18, 1: 0, 2: 1, 3: 2, 4: 1}",1
20,False,"{'a': 0.002, 'e': 0.9627129408911995}",20,16,8.943497491649715,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.002, 'e': 0.9607894391523232}",20,2,10.3019247494668,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.002, 'e': 0.9588697805724845}",35,12,-80.62054209688937,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 2}",1
23,False,"{'a': 0.002, 'e': 0.9569539574730467}",20,0,-0.8985753350291702,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
24,False,"{'a': 0.002, 'e': 0.9550419621907147}",35,3,-17.51468642230453,"{0: 30, 1: 0, 2: 1, 3: 0, 4: 1}",1
25,False,"{'a': 0.002, 'e': 0.9531337870775047}",25,0,4.447030416367178,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
26,False,"{'a': 0.002, 'e': 0.951229424500714}",20,0,23.759631742523815,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.002, 'e': 0.9493288668428895}",30,0,-74.20003798048333,"{0: 27, 1: 0, 2: 0, 3: 1, 4: 2}",0
28,False,"{'a': 0.002, 'e': 0.9474321065017983}",25,0,-16.778066813171666,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
29,False,"{'a': 0.002, 'e': 0.9455391358903963}",25,0,-81.20823153882668,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
30,False,"{'a': 0.002, 'e': 0.9436499474367985}",20,0,6.387356523247923,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.002, 'e': 0.9417645335842487}",20,0,-17.754746437336376,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
32,False,"{'a': 0.002, 'e': 0.9398828867910889}",20,0,-86.92982283268864,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
33,False,"{'a': 0.002, 'e': 0.9380049995307295}",30,3,-112.79072010772471,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 2}",1
34,False,"{'a': 0.002, 'e': 0.9361308642916188}",25,8,-1.8628629791653502,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
35,False,"{'a': 0.002, 'e': 0.9342604735772135}",25,0,23.35824795541794,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
36,False,"{'a': 0.002, 'e': 0.9323938199059483}",30,19,13.941294695221252,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.002, 'e': 0.9305308958112057}",20,0,-18.534622527601687,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
38,False,"{'a': 0.002, 'e': 0.9286716938412872}",20,6,-44.84584143857569,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 1}",1
39,False,"{'a': 0.002, 'e': 0.9268162065593822}",20,12,12.110330141852593,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.002, 'e': 0.9249644265435393}",30,0,4.63342464923485,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
41,False,"{'a': 0.002, 'e': 0.9231163463866358}",30,22,10.663239175010318,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.002, 'e': 0.9212719586963487}",20,0,-65.45438304380342,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
43,False,"{'a': 0.002, 'e': 0.9194312560951247}",30,13,-16.801293649436435,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
44,False,"{'a': 0.002, 'e': 0.9175942312201509}",35,24,17.446069895836253,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.002, 'e': 0.9157608767233256}",20,0,-55.15552041355561,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
46,False,"{'a': 0.002, 'e': 0.9139311852712282}",20,0,10.093762897699394,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
47,False,"{'a': 0.002, 'e': 0.9121051495450904}",20,8,7.277096538952405,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.002, 'e': 0.910282762240767}",20,1,-2.325890453174356,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
49,False,"{'a': 0.002, 'e': 0.9084640160687062}",25,0,-50.37121028154938,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
50,False,"{'a': 0.002, 'e': 0.9066489037539209}",20,0,9.93983329834785,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
51,False,"{'a': 0.002, 'e': 0.9048374180359595}",25,0,-10.354764041119367,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
52,False,"{'a': 0.002, 'e': 0.9030295516688768}",25,0,-30.50793139378847,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
53,False,"{'a': 0.002, 'e': 0.9012252974212047}",25,0,18.513342731471894,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
54,False,"{'a': 0.002, 'e': 0.899424648075924}",30,0,36.16071023301553,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
55,False,"{'a': 0.002, 'e': 0.8976275964304349}",20,0,-15.564112231025552,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
56,False,"{'a': 0.002, 'e': 0.8958341352965282}",20,0,6.176344680184017,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
57,False,"{'a': 0.002, 'e': 0.8940442575003572}",20,0,-31.491925650029295,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
58,False,"{'a': 0.002, 'e': 0.8922579558824083}",20,0,-15.36314650750213,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
59,False,"{'a': 0.002, 'e': 0.8904752232974726}",25,0,-8.739512713025807,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
60,False,"{'a': 0.002, 'e': 0.8886960526146174}",25,0,-10.292641135002373,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",1
61,False,"{'a': 0.002, 'e': 0.8869204367171575}",25,7,-19.88496235264873,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
62,False,"{'a': 0.002, 'e': 0.8851483685026271}",20,0,-30.769825396460366,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
63,False,"{'a': 0.002, 'e': 0.8833798408827509}",20,0,21.083424251383864,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
64,False,"{'a': 0.002, 'e': 0.8816148467834161}",25,0,-15.233603655070098,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
65,False,"{'a': 0.002, 'e': 0.8798533791446438}",25,6,0.627391962883743,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.002, 'e': 0.8780954309205613}",20,0,5.535626394663864,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
67,False,"{'a': 0.002, 'e': 0.8763409950793732}",20,0,-23.414021231846466,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
68,False,"{'a': 0.002, 'e': 0.874590064603334}",30,0,16.398636297940516,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
69,False,"{'a': 0.002, 'e': 0.8728426324887193}",20,0,24.081336776568556,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
70,False,"{'a': 0.002, 'e': 0.8710986917457983}",20,4,-1.8931028713782965,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
71,False,"{'a': 0.002, 'e': 0.8693582353988059}",20,0,-0.7373240561154562,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
72,False,"{'a': 0.002, 'e': 0.867621256485914}",30,0,-139.062423602741,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 3}",0
73,False,"{'a': 0.002, 'e': 0.865887748059205}",25,3,-41.95660095098542,"{0: 17, 1: 1, 2: 2, 3: 2, 4: 0}",1
74,False,"{'a': 0.002, 'e': 0.8641577031846428}",20,0,-23.465802564350135,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
75,False,"{'a': 0.002, 'e': 0.8624311149420455}",25,0,-29.486677892034002,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
76,False,"{'a': 0.002, 'e': 0.8607079764250578}",20,10,17.505532047896153,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.002, 'e': 0.8589882807411234}",20,0,-13.706138155929988,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
78,False,"{'a': 0.002, 'e': 0.8572720210114575}",30,7,23.294277878709714,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.002, 'e': 0.8555591903710185}",20,0,20.75929332067702,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
80,False,"{'a': 0.002, 'e': 0.8538497819684817}",25,0,19.604169666297505,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.002, 'e': 0.8521437889662113}",20,4,-29.66031349997141,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
82,False,"{'a': 0.002, 'e': 0.850441204540233}",35,6,-85.64340915183763,"{0: 22, 1: 3, 2: 2, 3: 0, 4: 2}",1
83,False,"{'a': 0.002, 'e': 0.8487420218802068}",30,0,42.27240606129813,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
84,False,"{'a': 0.002, 'e': 0.8470462341893996}",25,0,2.6422613410621683,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
85,False,"{'a': 0.002, 'e': 0.8453538346846587}",25,0,-31.13359455560694,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
86,False,"{'a': 0.002, 'e': 0.8436648165963837}",30,14,-29.153991194243336,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 0}",1
87,False,"{'a': 0.002, 'e': 0.8419791731684999}",25,0,-5.492162411109147,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
88,False,"{'a': 0.002, 'e': 0.8402968976584314}",20,0,-37.10488318467241,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
89,False,"{'a': 0.002, 'e': 0.838617983337074}",25,0,-44.78422728114995,"{0: 20, 1: 0, 2: 3, 3: 2, 4: 0}",0
90,False,"{'a': 0.002, 'e': 0.8369424234887681}",20,0,-8.306616558518824,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
91,False,"{'a': 0.002, 'e': 0.835270211411272}",20,11,-1.3211691386207447,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.002, 'e': 0.8336013404157353}",35,0,-31.953985350714504,"{0: 30, 1: 1, 2: 2, 3: 2, 4: 0}",0
93,False,"{'a': 0.002, 'e': 0.8319358038266718}",20,0,-2.7026002334021224,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
94,False,"{'a': 0.002, 'e': 0.8302735949819326}",30,0,-22.664564011403844,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
95,False,"{'a': 0.002, 'e': 0.8286147072326806}",20,0,-33.62327745692398,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
96,False,"{'a': 0.002, 'e': 0.8269591339433623}",20,0,4.379098902762052,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
97,False,"{'a': 0.002, 'e': 0.8253068684916823}",25,0,-21.590537901210322,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
98,False,"{'a': 0.002, 'e': 0.8236579042685769}",25,0,-28.08511227066677,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
99,False,"{'a': 0.002, 'e': 0.8220122346781865}",30,0,-31.233229085096013,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
100,False,"{'a': 0.002, 'e': 0.8203698531378311}",25,18,0.14868307610321962,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.002, 'e': 0.8187307530779818}",25,0,15.463855861758837,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
102,False,"{'a': 0.002, 'e': 0.8170949279422366}",35,1,-59.99513358165156,"{0: 29, 1: 3, 2: 0, 3: 0, 4: 2}",1
103,False,"{'a': 0.002, 'e': 0.8154623711872927}",20,0,-0.6378349979800938,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
104,False,"{'a': 0.002, 'e': 0.8138330762829207}",20,6,19.424398284006408,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.002, 'e': 0.812207036711939}",30,16,21.11835163477249,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.002, 'e': 0.8105842459701871}",30,10,14.24832241442089,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.002, 'e': 0.8089646975664998}",30,17,-28.46414234429126,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
108,False,"{'a': 0.002, 'e': 0.8073483850226815}",20,0,18.4976040151661,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
109,False,"{'a': 0.002, 'e': 0.8057353018734796}",35,0,-17.212442170067938,"{0: 30, 1: 1, 2: 4, 3: 0, 4: 0}",0
110,False,"{'a': 0.002, 'e': 0.8041254416665596}",25,0,-1.51467353363105,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
111,False,"{'a': 0.002, 'e': 0.8025187979624785}",20,10,-8.847228560254123,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
112,False,"{'a': 0.002, 'e': 0.8009153643346592}",20,0,-82.36857103770507,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
113,False,"{'a': 0.002, 'e': 0.7993151343693651}",35,27,14.534001622089232,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.002, 'e': 0.7977181016656743}",25,9,-28.27206305009671,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
115,False,"{'a': 0.002, 'e': 0.7961242598354538}",20,8,5.8302723938103895,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.002, 'e': 0.794533602503334}",25,0,-26.13702851775149,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
117,False,"{'a': 0.002, 'e': 0.7929461233066837}",25,0,26.04730517703707,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
118,False,"{'a': 0.002, 'e': 0.7913618158955839}",30,0,23.22013466048409,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
119,False,"{'a': 0.002, 'e': 0.7897806739328027}",20,13,10.068557514341254,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.002, 'e': 0.7882026910937704}",20,11,14.236446361465163,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.002, 'e': 0.7866278610665535}",25,0,-49.50490870032817,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
122,False,"{'a': 0.002, 'e': 0.7850561775518295}",20,6,-22.85038306576157,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
123,False,"{'a': 0.002, 'e': 0.7834876342628625}",25,0,-35.47231434660859,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
124,False,"{'a': 0.002, 'e': 0.7819222249254772}",25,0,8.253010402614184,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
125,False,"{'a': 0.002, 'e': 0.7803599432780343}",30,0,-42.5772158913347,"{0: 24, 1: 0, 2: 5, 3: 1, 4: 0}",0
126,False,"{'a': 0.002, 'e': 0.7788007830714049}",25,11,12.0697990170777,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.002, 'e': 0.7772447380689461}",25,15,-6.026206139354649,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
128,False,"{'a': 0.002, 'e': 0.775691802046476}",25,0,-27.042352845926594,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
129,False,"{'a': 0.002, 'e': 0.7741419687922484}",20,0,-31.22885747468747,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
130,False,"{'a': 0.002, 'e': 0.772595232106928}",20,0,-29.784400989393525,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
131,False,"{'a': 0.002, 'e': 0.7710515858035663}",20,0,0.5833761834648864,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
132,False,"{'a': 0.002, 'e': 0.7695110237075758}",25,10,13.950973256086385,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.002, 'e': 0.7679735396567061}",20,0,-63.66932840387601,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
134,False,"{'a': 0.002, 'e': 0.7664391275010192}",20,0,-17.913156629171894,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
135,False,"{'a': 0.002, 'e': 0.764907781102864}",35,0,-46.59319637840269,"{0: 31, 1: 0, 2: 2, 3: 1, 4: 1}",0
136,False,"{'a': 0.002, 'e': 0.7633794943368531}",25,0,-37.86158905760608,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
137,False,"{'a': 0.002, 'e': 0.7618542610898376}",30,0,-10.711320470074138,"{0: 25, 1: 3, 2: 2, 3: 0, 4: 0}",0
138,False,"{'a': 0.002, 'e': 0.7603320752608821}",20,0,-24.556482364424518,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
