trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-132.83314525211784,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",35,0,-131.19671619069285,"{0: 19, 1: 5, 2: 9, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,8,-65.6692444285703,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.8416052690935,"{0: 9, 1: 7, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-66.84696755666023,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-120.46870439760275,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.32297374328735,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-237.54266321261198,"{0: 16, 1: 2, 2: 8, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,13,-63.36705304800532,"{0: 6, 1: 3, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",25,12,-55.53947791221978,"{0: 7, 1: 3, 2: 1, 3: 2, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.7708732890033,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.17350881117258,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-200.61028767685008,"{0: 20, 1: 3, 2: 8, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-115.43935349524084,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-210.0757250951101,"{0: 11, 1: 4, 2: 6, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-146.25225771756413,"{0: 20, 1: 2, 2: 4, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.699616045676144,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-97.79270625218903,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-170.89740947071604,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-174.4954671440223,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-102.82180050563886,"{0: 16, 1: 9, 2: 4, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-236.49664681927442,"{0: 8, 1: 2, 2: 5, 3: 1, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-173.5483495207835,"{0: 10, 1: 4, 2: 8, 3: 2, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-238.11477774425026,"{0: 10, 1: 1, 2: 10, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-85.81307163024931,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,9,-139.11477723529828,"{0: 6, 1: 2, 2: 6, 3: 0, 4: 2}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-134.8430674834109,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-182.33559821432604,"{0: 16, 1: 3, 2: 8, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",35,0,-205.09547485770537,"{0: 19, 1: 5, 2: 6, 3: 3, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-130.65995214863682,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
